"","Genus","genus_size","mass_g","gestation_mo","newborn_g","weaning_mo","wean_g","afr_mo","life_mo","litter_size","litters_per_year"
"608","Vormela",1,542.5,2,NA,1,NA,3,107,5.76,NA
"609","Vulpes",10,3092.917,1.74,52.8633333333333,1.622,1236.43,11.6583333333333,186.333333333333,3.595,0.97
"610","Wiedomys",1,47,NA,NA,NA,NA,NA,NA,3.8,NA
"611","Xerus",2,545,1.54,20,1.74,NA,8.66,72,2.965,1
"612","Zaedyus",1,1500,2,105,1.5,NA,10.5,108,2,NA
"613","Zalophus",1,84666.67,11.14,6817.14,10.75,25000,68,300,1,1
"614","Zapus",3,23.6666666666667,0.64,0.81,0.966666666666667,7.8,6.795,54,5.18666666666667,1.32333333333333
"615","Zelotomys",1,54.5,1.03,NA,NA,NA,NA,NA,4.68,NA
"616","Ziphius",1,2952500,12,NA,NA,NA,NA,432,1,NA
"617","Zygodontomys",1,58,0.87,3.64,0.48,22,1.44,NA,4.32,5.5
"618","Zyzomys",3,91.3333333333333,1,NA,1.17,14,NA,NA,2.5,0.75
