"","Genus","genus_size","mass_g","gestation_mo","newborn_g","weaning_mo","wean_g","afr_mo","life_mo","litter_size","litters_per_year"
"385","Neotoma",10,216.844,1.10555555555556,11.3211111111111,0.9125,56.81,5.55444444444444,54.2,2.429,2.00222222222222
"386","Neotomodon",1,50,0.91,3.4,NA,NA,3.99,NA,3.25,2
"387","Neotragus",2,4833.335,6,500,NA,NA,7.69,162,1,NA
"388","Nesokia",1,143.5,0.57,NA,NA,NA,NA,NA,4.09,NA
"389","Neurotrichus",1,10,NA,0.67,NA,NA,NA,NA,2.63,NA
"390","Niviventer",1,66.4,NA,3.75,NA,NA,NA,NA,NA,NA
"391","Notiosorex",1,4.15,NA,0.41,1.42,3.6,NA,NA,3.83,2
"392","Notomys",5,39.2,1.332,2.915,1.0175,12.5,3.225,62,3.178,NA
"393","Nyctereutes",1,4232,2.05,87.92,1.73,825,12.22,128,9.46,1
"394","Nycticebus",2,636.6,6.255,35.72,5.82,520,23.42,174,1.535,1
"395","Nyctomys",1,53.33,1.09,5.2,0.7,40,NA,62,2,NA
"396","Ochotona",11,154.866666666667,0.882857142857143,8.87714285714286,0.73,76.71,4.60333333333333,78,4.739,2.31222222222222
"397","Ochrotomys",1,22,0.95,2.63,0.63,10.9,NA,101,2.55,NA
"398","Octodon",1,235,2.96,14.1,1.19,71.2,10.9,85,5.28,1.75
"399","Octodontomys",1,158,3.39,16.67,1.38,NA,NA,88,2.03,NA
"400","Odobenus",1,650000,11.5,51883.33,20.37,2e+05,52.14,480,1.14,0.5
"401","Odocoileus",2,57633.335,6.845,3053.67,3.385,26574,11.665,270,1.665,0.985
"402","Oecomys",1,60.67,NA,NA,NA,NA,3,NA,3.6,4.2
"403","Oenomys",1,85.5,NA,NA,1,30,3.83,NA,3.92,NA
"404","Okapia",1,287500,14.87,17375,7,77000,23.86,396,1,0.75
"405","Oligoryzomys",3,23.8,0.83,3.3,0.49,NA,1.93,NA,3.56666666666667,NA
"406","Ommatophoca",1,187666.67,8.13,20266.67,1,NA,41.51,252,1,1
"407","Oncifelis",2,3475,2.45,86.18,2.25,NA,NA,252,2.27,1.33
"408","Ondatra",1,1135.8,0.91,21.92,0.84,152.1,4.96,120,6.28,2.68
